time,lat,long,ped_injured,ped_killed,cyclist_injured,cyclist_killed
0:45,40.8627785,-73.9061582,1,0,0,0
14:00,40.8795157,-73.9096784,1,0,0,0
16:10,40.8048401,-73.9127887,1,0,0,0
20:22,40.8467333,-73.9064808,1,0,0,0
13:20,40.8048401,-73.9127887,1,0,0,0
18:50,40.8228400,-73.9287567,1,0,0,0
6:30,40.8147006,-73.9185777,1,0,0,0
9:10,40.8627551,-73.9010787,1,0,0,0
15:00,40.8790546,-73.8743853,1,0,0,0
23:37,40.8358971,-73.8558592,1,0,0,0
11:20,40.8984496,-73.8542983,1,0,0,0
11:11,40.8148803,-73.9288555,1,0,0,0
16:15,40.8160806,-73.9176873,1,0,0,0
12:05,40.8397990,-73.8735956,1,0,0,0
13:55,40.8468783,-73.9206057,1,0,0,0
14:00,40.8753834,-73.8834357,1,0,0,0
16:10,40.8125986,-73.9232730,1,0,0,0
7:00,40.8534443,-73.8560850,1,0,0,0
9:01,40.9051875,-73.9071112,1,0,0,0
15:50,40.8278116,-73.9259293,1,0,0,0
19:10,40.8412779,-73.8635817,1,0,0,0
19:30,40.8449821,-73.8824300,1,0,0,0
11:20,40.8868832,-73.8653796,1,0,0,0
20:25,40.8553694,-73.9047263,1,0,0,0
10:06,40.8538153,-73.9073312,1,0,0,0
5:00,40.8201890,-73.8906752,1,0,0,0
10:30,40.8278116,-73.9259293,1,0,0,0
10:42,40.8136940,-73.9018308,1,0,0,0
12:10,40.8246558,-73.8919289,1,0,0,0
14:50,40.9030436,-73.8495494,1,0,0,0
15:20,40.8291511,-73.9004277,1,0,0,0
19:45,40.8235818,-73.9067482,1,0,0,0
3:44,40.8538121,-73.9138486,1,0,0,0
13:20,40.8798659,-73.8759568,1,0,0,0
22:45,40.8687708,-73.8317333,1,0,0,0
23:30,40.8617318,-73.9118139,1,0,0,0
9:19,40.8263497,-73.8984410,1,0,0,0
14:00,40.8749000,-73.8804245,1,0,0,0
15:00,40.8695146,-73.8261813,1,0,0,0
15:45,40.8193582,-73.9182830,1,0,0,0
13:49,40.8627551,-73.9010787,1,0,0,0
13:49,40.8627551,-73.9010787,1,0,0,0
18:35,40.8711195,-73.8768264,2,0,0,0
18:35,40.8711195,-73.8768264,2,0,0,0
18:55,40.8263497,-73.8984410,1,0,0,0
17:00,40.8622592,-73.8958844,1,0,0,0
17:10,40.8357243,-73.9212840,3,0,0,0
18:00,40.8408685,-73.8728057,1,0,0,0
23:34,40.8876042,-73.9168464,1,0,0,0
8:15,40.8531154,-73.8975868,1,0,0,0
14:35,40.8415228,-73.8788437,1,0,0,0
17:10,40.8426172,-73.8781767,1,0,0,0
17:15,40.8375033,-73.9105956,1,0,0,0
14:20,40.8375868,-73.8663865,1,0,0,0
14:46,40.8457423,-73.8878357,1,0,0,0
15:30,40.8040453,-73.9072235,1,0,0,0
17:05,40.8078095,-73.9238384,1,0,0,0
21:55,40.8142701,-73.9153413,1,0,0,0
4:20,40.8682829,-73.9010669,1,0,0,0
12:49,40.8463591,-73.8446210,1,0,0,0
21:00,40.8624717,-73.9002838,1,0,0,0
21:15,40.8627177,-73.9022935,1,0,0,0
21:45,40.8721134,-73.8878527,1,0,0,0
13:15,40.8873881,-73.8539356,1,0,0,0
13:20,40.8805075,-73.8859509,1,0,0,0
18:50,40.8413911,-73.8346721,1,0,0,0
18:58,40.8156984,-73.9167701,1,0,0,0
19:30,40.8794193,-73.9057948,1,0,0,0
19:45,40.8476674,-73.9010217,1,0,0,0
20:30,40.8494529,-73.9059999,1,0,0,0
22:30,40.8810763,-73.8784859,1,0,0,0
23:23,40.8160462,-73.9119430,1,0,0,0
15:00,40.8278679,-73.8235801,1,0,0,0
16:00,40.8171743,-73.8617163,1,0,0,0
18:50,40.8402259,-73.9176827,1,0,0,0
1:40,40.8885128,-73.8600815,1,0,0,0
6:30,40.8299794,-73.8823806,1,0,0,0
16:24,40.8309969,-73.9281084,1,0,0,0
16:28,40.8687708,-73.8317333,1,0,0,0
18:00,40.8201744,-73.9159010,3,0,0,0
1:20,40.8310849,-73.8690808,1,0,0,0
20:24,40.8123855,-73.9246821,1,0,0,0
21:20,40.8754952,-73.8605139,1,0,0,0
16:40,40.8282246,-73.9086062,1,0,0,0
21:35,40.8840347,-73.8979659,1,0,0,0
7:55,40.8815081,-73.8511061,1,0,0,0
9:00,40.8397971,-73.8430643,1,0,0,0
17:30,40.8514695,-73.8955651,1,0,0,0
18:30,40.8560470,-73.8439441,1,0,0,0
23:30,40.8731394,-73.9057133,1,0,0,0
12:03,40.8141892,-73.9212444,1,0,0,0
8:00,40.8075593,-73.9192258,1,0,0,0
16:00,40.8866832,-73.8543241,1,0,0,0
16:15,40.8225330,-73.8850856,1,0,0,0
21:10,40.8807823,-73.8834624,1,0,0,0
13:31,40.8897477,-73.9129015,2,0,0,0
14:20,40.8713353,-73.8613795,1,0,0,0
19:50,40.8842805,-73.8624158,1,0,0,0
15:00,40.8948734,-73.8565596,1,0,0,0
18:00,40.8305026,-73.8616200,2,0,0,0
14:45,40.8096976,-73.9156325,1,0,0,0
16:03,40.8366250,-73.9261074,1,0,0,0
20:30,40.8617006,-73.8913807,1,0,0,0
22:40,40.8406104,-73.8541865,1,0,0,0
23:21,40.8718339,-73.8774976,1,0,0,0
23:55,40.8233063,-73.8871076,1,0,0,0
16:30,40.9052230,-73.8475113,1,0,0,0
16:40,40.8593085,-73.8988389,1,0,0,0
