time,lat,long,ped_injured,ped_killed,cyclist_injured,cyclist_killed
13:00,40.6166807,-74.1235758,0,0,1,0
18:30,40.6434314,-74.0841429,0,0,1,0
12:50,40.5842015,-74.0947104,0,0,1,0
22:00,40.6388444,-74.0846992,0,0,1,0
18:30,40.6278216,-74.1212583,0,0,1,0
18:40,40.5499631,-74.1508395,0,0,1,0
18:00,40.6466639,-74.0889325,0,0,1,0
14:15,40.5793574,-74.0871509,0,0,1,0
17:50,40.5507777,-74.1917696,0,0,1,0
18:27,40.6391762,-74.1218230,0,0,1,0
6:45,40.5826203,-74.0843579,0,0,1,0
11:00,40.6001833,-74.0646390,0,0,1,0
15:50,40.6285435,-74.0764686,0,0,1,0
16:30,40.6001833,-74.0646390,0,0,1,0
20:35,40.6416390,-74.1158028,0,0,1,0
7:00,40.6159289,-74.0874148,0,0,1,0
10:38,40.5726262,-74.1105970,0,0,1,0
14:15,40.5989350,-74.0637592,0,0,1,0
12:40,40.6434314,-74.0841429,0,0,1,0
8:55,40.5397999,-74.1481254,0,0,1,0
18:05,40.6261133,-74.0739765,0,0,1,0
17:31,40.6292495,-74.1232208,0,0,1,0
8:05,40.6152063,-74.0846476,0,0,1,0
15:30,40.5740943,-74.1191918,0,0,1,0
9:20,40.6175171,-74.0686576,0,0,1,0
14:30,40.6319694,-74.0759573,0,0,1,0
16:20,40.6070995,-74.0609903,0,0,1,0
16:30,40.5759853,-74.1022475,0,0,1,0
20:20,40.6378336,-74.0819235,0,0,1,0
20:45,40.6475736,-74.0874238,0,0,1,0
8:49,40.5413110,-74.1849316,0,0,1,0
18:30,40.6177890,-74.0811029,0,0,1,0
16:40,40.6343003,-74.1202397,0,0,1,0
12:15,40.5496800,-74.1592626,0,0,1,0
14:45,40.6466639,-74.0889325,0,0,1,0
16:00,40.5491153,-74.1506289,0,0,1,0
16:24,40.6346086,-74.1580637,0,0,1,0
14:05,40.5783898,-74.1269356,0,0,1,0
16:30,40.6101508,-74.1469669,0,0,1,0
7:35,40.6201606,-74.0769561,0,0,1,0
23:00,40.5992207,-74.0917213,0,0,1,0
8:00,40.5951044,-74.0754005,0,0,1,0
13:24,40.5704668,-74.1097619,0,0,1,0
20:30,40.6347993,-74.1355530,0,0,1,0
23:05,40.6403573,-74.0978781,0,0,1,0
10:45,40.6405690,-74.1179917,0,0,1,0
4:48,40.5724576,-74.0933764,0,0,1,0
13:30,40.5645304,-74.1417557,0,0,1,0
19:50,40.5952645,-74.0696466,0,0,1,0
14:10,40.6391608,-74.0873984,0,0,1,0
7:24,40.6140260,-74.0847830,0,0,1,0
18:20,40.6308856,-74.1304761,0,0,1,0
14:00,40.6103226,-74.0856714,0,0,1,0
13:05,40.6067627,-74.1658237,0,0,1,0
11:30,40.6366261,-74.0735306,0,0,1,0
19:40,40.6280179,-74.1604330,0,0,1,0
9:00,40.6435221,-74.0761506,0,0,1,0
14:10,40.6243593,-74.1391810,0,0,1,0
11:25,40.5958903,-74.0858762,0,0,1,0
19:35,40.6096923,-74.0628907,0,0,1,0
11:00,40.6289412,-74.1161879,0,0,1,0
15:00,40.5262662,-74.2015265,0,0,1,0
17:10,40.6385428,-74.1073373,0,0,1,0
9:40,40.5730631,-74.0876970,0,0,1,0
15:52,40.6315440,-74.1489018,0,0,1,0
23:15,40.6402647,-74.1351317,0,0,1,0
9:45,40.6098062,-74.1604000,0,0,1,0
20:45,40.6428925,-74.1138520,0,0,1,0
21:20,40.5464345,-74.1922680,0,0,1,0
7:15,40.6464578,-74.0892962,0,0,1,0
16:55,40.6359357,-74.0758465,0,0,1,0
19:40,40.5958903,-74.0858762,0,0,1,0
15:40,40.6076902,-74.0894424,0,0,1,0
14:24,40.6407689,-74.0947511,0,0,1,0
15:14,40.6336711,-74.1284711,0,0,1,0
13:05,40.6258008,-74.0774958,0,0,1,0
8:15,40.5565344,-74.1281176,0,0,1,0
0:02,40.6289412,-74.1161879,0,0,1,0
20:50,40.6326762,-74.1168357,0,0,1,0
16:30,40.6261133,-74.0739765,0,0,1,0
18:50,40.6322798,-74.0834371,0,0,1,0
17:12,40.6317290,-74.1248934,0,0,1,0
14:00,40.6247430,-74.1278451,0,0,1,0
20:45,40.5458490,-74.1646003,0,0,1,0
13:30,40.5565344,-74.1281176,0,0,1,0
19:45,40.5903421,-74.0666242,0,0,1,0
6:42,40.5704668,-74.1097619,0,0,1,0
15:50,40.6181595,-74.0849143,0,0,1,0
14:00,40.6326762,-74.1168357,0,0,1,0
16:20,40.6309193,-74.1027280,0,0,1,0
21:58,40.5647067,-74.1272083,0,0,1,0
14:40,40.6407453,-74.1200279,0,0,1,0
8:30,40.5674997,-74.1038686,0,0,1,0
10:30,40.6181866,-74.0691482,0,0,1,0
7:50,40.6334622,-74.0765355,0,0,1,0
15:00,40.5852401,-74.0934086,0,0,1,0
21:38,40.6300111,-74.0817302,0,0,1,0
17:14,40.5649720,-74.1304697,0,0,1,0
14:35,40.5616098,-74.1176075,0,0,1,0
9:45,40.6268158,-74.0741538,0,0,1,0
7:15,40.5941523,-74.0865797,0,0,1,0
14:45,40.5775496,-74.1272508,0,0,1,0
9:15,40.5293737,-74.1613509,0,0,1,0
17:17,40.6258008,-74.0774958,0,0,1,0
11:43,40.5593847,-74.1539234,0,0,1,0
15:20,40.5494290,-74.1601795,0,0,1,0
18:30,40.5524121,-74.1910366,0,0,1,0
16:30,40.6129315,-74.0874865,0,0,1,0
7:20,40.6156257,-74.1053446,0,0,1,0
