time,lat,lng,injured,killed
12:20,40.6870248,-73.9762057,1,0
12:27,40.6321559,-74.0275073,1,0
15:16,40.6383585,-73.9609746,1,0
17:52,40.6850282,-73.9712378,1,0
19:50,40.6762527,-73.9530715,1,0
23:15,40.6929914,-73.9558256,1,0
7:55,40.7049639,-73.9281108,1,0
11:50,40.7099207,-73.9622925,1,0
20:50,40.6507660,-73.8848048,1,0
21:20,40.7203204,-73.9617203,1,0
13:27,40.7123781,-73.9440319,1,0
16:25,40.6831278,-73.9791852,1,0
17:00,40.6334286,-73.9529755,1,0
18:20,40.7123979,-73.9513543,1,0
9:30,40.6978325,-73.9367593,1,0
14:25,40.6787642,-73.9531527,1,0
16:15,40.6054703,-73.9607309,1,0
16:38,40.6920346,-73.9456428,1,0
16:15,40.6808806,-73.9837107,1,0
16:55,40.5769981,-73.9683829,1,0
18:55,40.6072362,-73.9919400,1,0
20:00,40.6894282,-73.9422230,1,0
21:58,40.6503881,-73.9587080,1,0
8:10,40.5956716,-73.9850602,1,0
9:00,40.6077933,-73.9913565,1,0
13:31,40.6292468,-74.0052995,1,0
16:32,40.6541719,-73.8959460,1,0
17:20,40.5945938,-73.9954991,1,0
18:32,40.5772440,-74.0000324,1,0
22:25,40.7183013,-73.9500658,1,0
13:09,40.6680296,-73.9839446,1,0
13:30,40.6361721,-73.9499255,1,0
22:20,40.6329180,-73.9688932,1,0
22:20,40.6309047,-73.9204195,1,0
11:00,40.6786763,-73.9821898,1,0
17:31,40.6223740,-73.9647195,1,0
20:50,40.6751012,-74.0016836,1,0
21:25,40.6284452,-73.9917933,1,0
9:22,40.6705752,-73.9751950,1,0
12:45,40.6915970,-73.9914466,1,0
17:15,40.7043034,-73.9297995,1,0
21:10,40.6072565,-73.9672737,1,0
0:08,40.6691717,-73.9863054,1,0
13:28,40.6697837,-73.9857970,1,0
18:20,40.7043034,-73.9297995,1,0
21:50,40.6623697,-73.9268555,1,0
5:40,40.6243269,-74.0307065,1,0
9:36,40.6621315,-73.9872224,1,0
10:13,40.6835431,-73.9843735,1,0
10:43,40.6835431,-73.9843735,1,0
21:07,40.6934340,-73.9659044,1,0
21:35,40.6404169,-73.9829207,1,0
7:00,40.6309878,-74.0220234,1,0
9:40,40.6715924,-73.9842898,1,0
13:04,40.6723897,-73.8746231,1,0
20:00,40.6385239,-73.9731855,1,0
12:30,40.6282643,-73.9991498,1,0
18:30,40.6210427,-73.9994921,1,0
21:00,40.6738279,-73.9758895,1,0
21:55,40.6666958,-73.9616177,1,0
4:56,40.6317075,-73.9464810,1,0
9:05,40.6834728,-73.9997260,1,0
11:20,40.6641748,-73.9448906,1,0
19:14,40.6689254,-73.8874770,1,0
19:20,40.6878706,-73.9783472,1,0
22:20,40.7237719,-73.9507904,1,0
23:03,40.6557451,-73.9992576,1,0
6:30,40.6771110,-73.9033550,1,0
21:55,40.6731994,-73.9763223,1,0
7:10,40.6776512,-73.9497681,1,0
9:43,40.7004248,-73.9443882,1,0
13:47,40.6868654,-73.9644690,1,0
14:10,40.7108836,-73.9534656,1,0
14:12,40.6384649,-73.9796784,1,0
15:00,40.5991464,-73.9535506,1,0
15:40,40.6902407,-73.9481865,1,0
16:45,40.6716376,-73.9503350,1,0
21:10,40.6377942,-74.0250919,1,0
2:16,40.6599320,-73.8916479,1,0
5:05,40.7200491,-73.9553495,1,0
9:05,40.6498945,-73.9076144,1,0
9:15,40.6219951,-73.9949208,1,0
20:57,40.6811205,-73.9644216,1,0
11:00,40.6530051,-74.0128479,1,0
14:30,40.6398088,-73.9955104,1,0
14:50,40.6301276,-73.9900458,1,0
19:00,40.5911027,-73.9651429,1,0
22:16,40.6934893,-73.9791676,1,0
13:33,40.6353045,-74.0061683,1,0
15:15,40.6981167,-73.9775324,1,0
15:25,40.6999378,-73.9118079,1,0
16:44,40.6828346,-73.9409127,1,0
7:30,40.7186686,-73.9634925,1,0
9:25,40.6133874,-73.9959840,1,0
10:05,40.6774056,-73.9830482,1,0
12:25,40.6875062,-73.9146441,1,0
12:26,40.6826929,-73.9904237,1,0
12:26,40.6826929,-73.9904237,1,0
14:20,40.6714586,-73.9910238,1,0
16:30,40.6550478,-73.9563012,1,0
18:40,40.7351589,-73.9550724,1,0
20:45,40.7263019,-73.9491181,1,0
21:23,40.6360798,-74.0197048,1,0
7:30,40.7076757,-73.9238518,1,0
8:00,40.6697919,-73.8923961,1,0
13:00,40.6894687,-73.9691048,1,0
17:05,40.6540699,-73.9617619,1,0
20:20,40.6869382,-73.8732219,1,0
16:05,40.6907574,-73.9962318,1,0
9:00,40.7073911,-73.9505284,1,0
9:30,40.6482565,-73.9713978,1,0
18:45,40.5975802,-73.9959310,1,0
15:23,40.5862603,-73.9489224,1,0
15:40,40.7049639,-73.9281108,1,0
16:40,40.6735884,-73.9629548,1,0
17:15,40.6891376,-73.9907077,1,0
18:13,40.6968480,-73.9495012,1,0
9:14,40.6504490,-73.9111021,1,0
10:20,40.6789568,-73.9541260,1,0
1:00,40.6957047,-73.9463647,1,0
20:34,40.6582963,-73.9310841,1,0
22:45,40.7043034,-73.9297995,1,0
22:50,40.7140658,-73.9493728,1,0
